Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount,Variance_Amount
2026-01-01,"Toy Story 5","Marketing & Franchise","Compute/Cloud Infrastructure",199363.50,249204.38,49840.88
2026-01-03,"Franchise Shorts","Production & Animation","Travel & Casting",491525.28,466949.02,-24576.26
2026-03-28,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",464837.30,395111.70,-69725.60
2026-03-13,"Project Elio","Technical Operations (Render Farm)","Labor - Internal",304796.23,426714.72,121918.49
2026-03-17,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",37863.40,32183.89,-5679.51
2026-01-08,"Unallocated Corporate Overhead","Post-Production & Sound","Compute/Cloud Infrastructure",365301.13,511421.58,146120.45
2026-03-12,"Franchise Shorts","Production & Animation","Labor - Internal",446001.51,557501.89,111500.38
2026-03-28,"Toy Story 5","Technical Operations (Render Farm)","Labor - Internal",325851.40,276973.69,-48877.71
2026-01-07,"Unallocated Corporate Overhead","Post-Production & Sound","Travel & Casting",346922.51,364268.64,17346.13
2026-02-26,"Project Hoppers","Production & Animation","Labor - Internal",448086.80,560108.50,112021.70
2026-01-13,"Franchise Shorts","Pre-Production & Story","Labor - Internal",120802.36,102682.01,-18120.35
2026-03-13,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",212072.02,201468.42,-10603.60
2026-02-05,"Project Elio","Production & Animation","Labor - Internal",253964.18,215869.55,-38094.63
2026-01-24,"Toy Story 5","Marketing & Franchise","Vendor Contract",440541.47,418514.40,-22027.07
2026-02-25,"Project Hoppers","Post-Production & Sound","Labor - Internal",340872.80,323829.16,-17043.64
2026-03-29,"Project Elio","Post-Production & Sound","Labor - Internal",469187.37,492646.74,23459.37
2026-01-18,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",415459.92,353140.93,-62318.99
2026-01-23,"Toy Story 5","Marketing & Franchise","Equipment Lease",247414.20,346379.88,98965.68
2026-03-01,"Toy Story 5","Technical Operations (Render Farm)","Vendor Contract",245198.86,208419.03,-36779.83
2026-01-02,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",381670.51,400754.04,19083.53
2026-02-12,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",319282.80,446995.92,127713.12
2026-01-09,"Toy Story 5","Marketing & Franchise","Labor - Internal",176440.04,149974.03,-26466.01
2026-02-17,"Project Elio","Post-Production & Sound","Labor - Internal",223330.28,189830.74,-33499.54
2026-03-26,"Project Hoppers","Marketing & Franchise","Travel & Casting",245891.38,307364.22,61472.84
2026-03-31,"Franchise Shorts","Pre-Production & Story","Labor - Internal",191240.25,162554.21,-28686.04
2026-01-18,"Project Hoppers","Post-Production & Sound","Compute/Cloud Infrastructure",113723.87,142154.84,28430.97
2026-03-25,"Franchise Shorts","Production & Animation","Travel & Casting",69168.05,86460.06,17292.01
2026-01-10,"Project Hoppers","Pre-Production & Story","Vendor Contract",68351.59,95692.23,27340.64
2026-02-20,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",179674.57,224593.21,44918.64
2026-03-05,"Franchise Shorts","Production & Animation","Vendor Contract",120907.48,151134.35,30226.87
2026-03-04,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",110586.31,138232.89,27646.58
2026-02-23,"Project Hoppers","Post-Production & Sound","Vendor Contract",275003.14,261252.98,-13750.16
2026-01-15,"Project Hoppers","Pre-Production & Story","Labor - Internal",491038.84,613798.55,122759.71
2026-03-01,"Toy Story 5","Technical Operations (Render Farm)","Equipment Lease",327651.23,278503.55,-49147.68
2026-01-27,"Project Hoppers","Post-Production & Sound","Vendor Contract",236739.05,248576.00,11836.95
2026-01-16,"Project Elio","Production & Animation","Travel & Casting",458844.30,390017.65,-68826.65
2026-03-05,"Project Hoppers","Marketing & Franchise","Equipment Lease",47267.83,66174.96,18907.13
2026-02-05,"Project Elio","Pre-Production & Story","Travel & Casting",69098.14,96737.40,27639.26
2026-01-10,"Toy Story 5","Production & Animation","Compute/Cloud Infrastructure",101672.92,127091.15,25418.23
2026-01-09,"Project Elio","Marketing & Franchise","Compute/Cloud Infrastructure",112637.93,95742.24,-16895.69
2026-01-17,"Project Elio","Technical Operations (Render Farm)","Travel & Casting",199012.21,208962.82,9950.61
2026-02-23,"Project Hoppers","Marketing & Franchise","Vendor Contract",413467.94,351447.75,-62020.19
2026-02-03,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",231108.01,288885.01,57777.00
2026-03-05,"Project Hoppers","Production & Animation","Equipment Lease",336646.40,353478.72,16832.32
2026-02-09,"Toy Story 5","Production & Animation","Equipment Lease",23665.05,29581.31,5916.26
2026-03-27,"Project Elio","Pre-Production & Story","Equipment Lease",336475.94,286004.55,-50471.39
2026-01-30,"Toy Story 5","Production & Animation","Compute/Cloud Infrastructure",309286.61,293822.28,-15464.33
2026-02-23,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",334949.65,318202.17,-16747.48
2026-02-16,"Project Hoppers","Post-Production & Sound","Labor - Internal",468668.32,585835.40,117167.08
2026-01-18,"Toy Story 5","Marketing & Franchise","Vendor Contract",102632.22,97500.61,-5131.61
2026-03-14,"Project Elio","Pre-Production & Story","Vendor Contract",295564.16,310342.37,14778.21
2026-03-28,"Project Elio","Technical Operations (Render Farm)","Vendor Contract",61814.75,58724.01,-3090.74
2026-03-23,"Project Hoppers","Pre-Production & Story","Travel & Casting",58361.12,49606.95,-8754.17
2026-03-18,"Unallocated Corporate Overhead","Post-Production & Sound","Compute/Cloud Infrastructure",364385.25,510139.35,145754.10
2026-02-15,"Toy Story 5","Technical Operations (Render Farm)","Labor - Internal",254241.72,241529.63,-12712.09
2026-01-21,"Project Hoppers","Pre-Production & Story","Travel & Casting",184435.38,193657.15,9221.77
2026-02-21,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",147087.79,154442.18,7354.39
2026-03-10,"Project Hoppers","Marketing & Franchise","Vendor Contract",89965.31,85467.04,-4498.27
2026-01-31,"Toy Story 5","Post-Production & Sound","Compute/Cloud Infrastructure",268579.83,282008.82,13428.99
2026-01-19,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",397101.10,496376.38,99275.28
2026-03-11,"Toy Story 5","Marketing & Franchise","Compute/Cloud Infrastructure",127636.13,178690.58,51054.45
2026-01-27,"Project Hoppers","Pre-Production & Story","Equipment Lease",297490.51,312365.04,14874.53
2026-01-31,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",196191.48,274668.07,78476.59
2026-01-24,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",135617.68,128836.80,-6780.88
2026-02-02,"Franchise Shorts","Pre-Production & Story","Equipment Lease",209828.76,178354.45,-31474.31
2026-03-11,"Toy Story 5","Production & Animation","Vendor Contract",188076.50,197480.33,9403.83
2026-01-22,"Project Elio","Pre-Production & Story","Labor - Internal",499983.89,699977.45,199993.56
2026-03-31,"Project Hoppers","Pre-Production & Story","Travel & Casting",303556.99,288379.14,-15177.85
2026-01-29,"Project Elio","Production & Animation","Vendor Contract",155115.20,147359.44,-7755.76
2026-01-23,"Project Elio","Marketing & Franchise","Vendor Contract",175543.86,166766.67,-8777.19
2026-01-26,"Project Hoppers","Post-Production & Sound","Vendor Contract",280878.59,238746.80,-42131.79
2026-01-08,"Project Hoppers","Marketing & Franchise","Equipment Lease",339173.55,322214.87,-16958.68
2026-02-17,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",147235.75,125150.39,-22085.36
2026-01-23,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",97825.64,102716.92,4891.28
2026-03-13,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",476560.20,667184.28,190624.08
2026-02-07,"Franchise Shorts","Production & Animation","Labor - Internal",150080.33,142576.31,-7504.02
2026-02-08,"Toy Story 5","Production & Animation","Equipment Lease",72804.07,69163.87,-3640.20
2026-01-26,"Project Elio","Production & Animation","Vendor Contract",253359.90,240691.90,-12668.00
2026-01-19,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",221096.33,187931.88,-33164.45
2026-01-24,"Project Elio","Production & Animation","Travel & Casting",317170.61,444038.85,126868.24
2026-02-21,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",143558.53,200981.94,57423.41
2026-03-11,"Project Elio","Marketing & Franchise","Equipment Lease",68132.09,85165.11,17033.02
2026-02-02,"Franchise Shorts","Production & Animation","Travel & Casting",272172.71,258564.07,-13608.64
2026-01-31,"Project Elio","Production & Animation","Labor - Internal",345675.03,328391.28,-17283.75
2026-03-11,"Project Elio","Pre-Production & Story","Travel & Casting",274559.47,384383.26,109823.79
2026-02-21,"Franchise Shorts","Pre-Production & Story","Compute/Cloud Infrastructure",214840.91,300777.27,85936.36
2026-03-09,"Franchise Shorts","Production & Animation","Labor - Internal",329808.03,313317.63,-16490.40
2026-03-11,"Toy Story 5","Production & Animation","Vendor Contract",231395.70,196686.35,-34709.35
2026-03-01,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",108375.48,151725.67,43350.19
2026-02-19,"Project Hoppers","Production & Animation","Vendor Contract",232197.54,243807.42,11609.88
2026-03-02,"Franchise Shorts","Production & Animation","Travel & Casting",252142.89,214321.46,-37821.43
2026-01-07,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",56057.27,70071.59,14014.32
2026-01-19,"Project Hoppers","Marketing & Franchise","Travel & Casting",434821.13,413080.07,-21741.06
2026-02-16,"Toy Story 5","Marketing & Franchise","Vendor Contract",136320.89,170401.11,34080.22
2026-03-12,"Project Hoppers","Pre-Production & Story","Compute/Cloud Infrastructure",325139.85,308882.86,-16256.99
2026-03-16,"Project Hoppers","Post-Production & Sound","Vendor Contract",323467.30,404334.12,80866.82
2026-02-03,"Franchise Shorts","Production & Animation","Equipment Lease",100246.81,95234.47,-5012.34
2026-03-03,"Franchise Shorts","Pre-Production & Story","Vendor Contract",370386.37,462982.96,92596.59
2026-03-20,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",78007.62,74107.24,-3900.38
2026-01-10,"Project Hoppers","Marketing & Franchise","Labor - Internal",127195.87,158994.84,31798.97
2026-01-04,"Project Hoppers","Production & Animation","Travel & Casting",279687.38,237734.27,-41953.11
2026-03-20,"Project Hoppers","Production & Animation","Equipment Lease",378086.53,396990.86,18904.33
2026-02-23,"Toy Story 5","Production & Animation","Labor - Internal",20165.06,21173.31,1008.25
2026-03-12,"Project Elio","Production & Animation","Labor - Internal",330086.95,346591.30,16504.35
2026-01-10,"Project Hoppers","Production & Animation","Vendor Contract",329409.72,411762.15,82352.43
2026-03-09,"Franchise Shorts","Production & Animation","Labor - Internal",90144.61,112680.76,22536.15
2026-03-22,"Toy Story 5","Production & Animation","Travel & Casting",112466.03,106842.73,-5623.30
2026-02-04,"Project Hoppers","Post-Production & Sound","Vendor Contract",97716.62,136803.27,39086.65
2026-01-05,"Project Hoppers","Marketing & Franchise","Vendor Contract",122532.60,104152.71,-18379.89
2026-01-12,"Project Hoppers","Technical Operations (Render Farm)","Equipment Lease",426711.93,597396.70,170684.77
2026-03-11,"Toy Story 5","Pre-Production & Story","Equipment Lease",383932.71,364736.07,-19196.64
2026-01-06,"Franchise Shorts","Pre-Production & Story","Equipment Lease",172369.37,241317.12,68947.75
2026-03-23,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",215472.27,183151.43,-32320.84
2026-01-27,"Toy Story 5","Marketing & Franchise","Vendor Contract",415366.97,581513.76,166146.79
2026-01-18,"Franchise Shorts","Production & Animation","Vendor Contract",369067.05,387520.40,18453.35
2026-02-20,"Franchise Shorts","Post-Production & Sound","Compute/Cloud Infrastructure",130418.88,110856.05,-19562.83
2026-02-06,"Unallocated Corporate Overhead","Pre-Production & Story","Vendor Contract",423622.43,529528.04,105905.61
2026-02-09,"Project Hoppers","Technical Operations (Render Farm)","Equipment Lease",93969.51,98667.99,4698.48
2026-01-02,"Toy Story 5","Marketing & Franchise","Labor - Internal",86719.16,73711.29,-13007.87
2026-03-21,"Franchise Shorts","Pre-Production & Story","Travel & Casting",364865.09,383108.34,18243.25
2026-01-22,"Project Hoppers","Marketing & Franchise","Labor - Internal",138688.35,131753.93,-6934.42
2026-02-04,"Toy Story 5","Technical Operations (Render Farm)","Equipment Lease",423357.78,402189.89,-21167.89
2026-03-24,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",434990.26,608986.36,173996.10
2026-03-13,"Project Elio","Marketing & Franchise","Vendor Contract",315227.58,299466.20,-15761.38
2026-03-19,"Toy Story 5","Production & Animation","Vendor Contract",192768.04,240960.05,48192.01
2026-01-15,"Project Hoppers","Marketing & Franchise","Labor - Internal",43724.78,45911.02,2186.24
2026-02-23,"Unallocated Corporate Overhead","Marketing & Franchise","Compute/Cloud Infrastructure",206753.87,289455.42,82701.55
2026-02-27,"Franchise Shorts","Production & Animation","Vendor Contract",102580.37,87193.31,-15387.06
2026-02-02,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",174873.14,166129.48,-8743.66
2026-02-04,"Project Hoppers","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",342890.72,428613.40,85722.68
2026-01-07,"Franchise Shorts","Production & Animation","Equipment Lease",262678.77,249544.83,-13133.94
2026-03-17,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",258019.06,270920.01,12900.95
2026-02-18,"Toy Story 5","Technical Operations (Render Farm)","Labor - Internal",255794.64,319743.30,63948.66
2026-01-11,"Project Elio","Marketing & Franchise","Travel & Casting",33893.28,32198.62,-1694.66
2026-01-12,"Project Elio","Post-Production & Sound","Compute/Cloud Infrastructure",489193.70,415814.65,-73379.05
2026-03-18,"Project Elio","Marketing & Franchise","Travel & Casting",461939.54,438842.56,-23096.98
2026-02-11,"Project Elio","Pre-Production & Story","Labor - Internal",204034.67,214236.40,10201.73
2026-01-02,"Project Hoppers","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",82982.87,87132.01,4149.14
2026-02-14,"Project Hoppers","Production & Animation","Equipment Lease",388197.38,407607.25,19409.87
2026-03-24,"Toy Story 5","Pre-Production & Story","Travel & Casting",349370.63,331902.10,-17468.53
2026-02-05,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",344527.26,430659.08,86131.82
2026-03-24,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",451028.89,383374.56,-67654.33
2026-03-29,"Project Elio","Pre-Production & Story","Compute/Cloud Infrastructure",364600.31,346370.29,-18230.02
2026-01-10,"Project Elio","Production & Animation","Equipment Lease",357409.19,500372.87,142963.68
2026-03-28,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",186964.73,233705.91,46741.18
2026-02-25,"Unallocated Corporate Overhead","Pre-Production & Story","Travel & Casting",38843.81,40786.00,1942.19
2026-03-08,"Project Elio","Production & Animation","Labor - Internal",180402.72,171382.58,-9020.14
2026-02-02,"Project Elio","Production & Animation","Travel & Casting",380088.87,532124.42,152035.55
2026-03-07,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",286026.02,243122.12,-42903.90
2026-02-13,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",210275.62,199761.84,-10513.78
2026-02-08,"Toy Story 5","Production & Animation","Labor - Internal",189447.01,161029.96,-28417.05
2026-02-12,"Unallocated Corporate Overhead","Production & Animation","Compute/Cloud Infrastructure",193677.54,164625.91,-29051.63
2026-03-18,"Project Hoppers","Post-Production & Sound","Travel & Casting",404715.22,505894.02,101178.80
2026-03-27,"Toy Story 5","Production & Animation","Labor - Internal",294174.33,308883.05,14708.72
2026-03-26,"Project Hoppers","Pre-Production & Story","Equipment Lease",290902.03,363627.54,72725.51
2026-03-09,"Project Hoppers","Production & Animation","Travel & Casting",84203.49,105254.36,21050.87
2026-01-12,"Toy Story 5","Post-Production & Sound","Travel & Casting",460461.65,575577.06,115115.41
2026-01-05,"Franchise Shorts","Pre-Production & Story","Vendor Contract",25806.79,32258.49,6451.70
2026-01-18,"Project Hoppers","Marketing & Franchise","Equipment Lease",424952.61,531190.76,106238.15
2026-03-02,"Project Hoppers","Pre-Production & Story","Labor - Internal",93710.41,117138.01,23427.60
2026-02-22,"Project Elio","Post-Production & Sound","Compute/Cloud Infrastructure",129885.21,162356.51,32471.30
2026-01-01,"Project Hoppers","Post-Production & Sound","Compute/Cloud Infrastructure",341889.22,358983.68,17094.46
2026-03-24,"Franchise Shorts","Post-Production & Sound","Compute/Cloud Infrastructure",366574.95,384903.70,18328.75
2026-01-30,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",200398.33,250497.91,50099.58
2026-02-01,"Project Hoppers","Marketing & Franchise","Compute/Cloud Infrastructure",485068.19,509321.60,24253.41
2026-01-16,"Franchise Shorts","Production & Animation","Travel & Casting",187630.45,262682.63,75052.18
2026-03-20,"Project Elio","Post-Production & Sound","Compute/Cloud Infrastructure",361332.24,451665.30,90333.06
2026-01-04,"Franchise Shorts","Marketing & Franchise","Travel & Casting",312956.34,438138.88,125182.54
2026-03-01,"Project Elio","Marketing & Franchise","Labor - Internal",215750.54,226538.07,10787.53
2026-03-28,"Toy Story 5","Production & Animation","Labor - Internal",23171.53,19695.80,-3475.73
2026-01-25,"Franchise Shorts","Production & Animation","Compute/Cloud Infrastructure",363540.55,381717.58,18177.03
2026-03-21,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",33912.70,42390.88,8478.18
2026-02-09,"Project Elio","Production & Animation","Labor - Internal",165577.19,157298.33,-8278.86
2026-02-17,"Toy Story 5","Production & Animation","Travel & Casting",145045.80,123288.93,-21756.87
2026-02-09,"Project Hoppers","Marketing & Franchise","Vendor Contract",355642.66,497899.72,142257.06
2026-03-02,"Toy Story 5","Production & Animation","Compute/Cloud Infrastructure",286433.71,272112.02,-14321.69
2026-03-10,"Project Elio","Production & Animation","Compute/Cloud Infrastructure",272996.07,286645.87,13649.80
2026-02-04,"Toy Story 5","Production & Animation","Vendor Contract",53773.42,51084.75,-2688.67
2026-02-12,"Project Elio","Marketing & Franchise","Equipment Lease",49833.54,69766.96,19933.42
2026-01-12,"Project Elio","Production & Animation","Equipment Lease",148082.13,207314.98,59232.85
2026-03-08,"Project Elio","Production & Animation","Equipment Lease",218885.26,229829.52,10944.26
2026-01-02,"Toy Story 5","Pre-Production & Story","Travel & Casting",205591.43,195311.86,-10279.57
2026-01-03,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",496409.84,521230.33,24820.49
2026-01-21,"Franchise Shorts","Production & Animation","Travel & Casting",304677.27,380846.59,76169.32
2026-02-27,"Toy Story 5","Production & Animation","Vendor Contract",424096.96,402892.11,-21204.85
2026-02-06,"Project Hoppers","Production & Animation","Labor - Internal",139307.68,195030.75,55723.07
2026-02-16,"Toy Story 5","Production & Animation","Labor - Internal",187067.64,177714.26,-9353.38
2026-02-28,"Project Elio","Post-Production & Sound","Vendor Contract",316493.99,443091.59,126597.60
2026-01-16,"Toy Story 5","Technical Operations (Render Farm)","Vendor Contract",158636.53,198295.66,39659.13
2026-02-22,"Toy Story 5","Production & Animation","Labor - Internal",274489.77,233316.30,-41173.47
2026-02-11,"Project Hoppers","Post-Production & Sound","Travel & Casting",135264.49,128501.27,-6763.22
2026-03-26,"Project Elio","Technical Operations (Render Farm)","Labor - Internal",43651.23,37103.55,-6547.68
2026-03-19,"Project Hoppers","Production & Animation","Compute/Cloud Infrastructure",287307.16,402230.02,114922.86
2026-01-20,"Unallocated Corporate Overhead","Pre-Production & Story","Compute/Cloud Infrastructure",206994.62,258743.27,51748.65
2026-02-27,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",325686.45,341970.77,16284.32
2026-01-02,"Franchise Shorts","Post-Production & Sound","Equipment Lease",87657.02,109571.28,21914.26
2026-01-29,"Toy Story 5","Production & Animation","Vendor Contract",431733.16,539666.45,107933.29
2026-03-09,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",217395.94,184786.55,-32609.39
2026-02-10,"Project Hoppers","Production & Animation","Travel & Casting",91866.55,114833.19,22966.64
2026-02-14,"Project Hoppers","Technical Operations (Render Farm)","Equipment Lease",59532.63,50602.74,-8929.89
2026-02-07,"Toy Story 5","Pre-Production & Story","Labor - Internal",202372.63,252965.79,50593.16
2026-02-01,"Toy Story 5","Marketing & Franchise","Labor - Internal",105097.37,89332.76,-15764.61
2026-01-21,"Project Hoppers","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",384292.19,538009.07,153716.88
2026-03-24,"Project Elio","Production & Animation","Equipment Lease",320862.03,449206.84,128344.81
2026-02-02,"Project Hoppers","Marketing & Franchise","Labor - Internal",261546.43,326933.04,65386.61
2026-03-21,"Project Hoppers","Post-Production & Sound","Compute/Cloud Infrastructure",229615.03,287018.79,57403.76
2026-03-24,"Project Hoppers","Technical Operations (Render Farm)","Travel & Casting",498797.21,523737.07,24939.86
2026-01-19,"Franchise Shorts","Technical Operations (Render Farm)","Vendor Contract",315309.48,441433.27,126123.79
2026-02-02,"Project Hoppers","Marketing & Franchise","Vendor Contract",26344.04,32930.05,6586.01
2026-03-25,"Project Hoppers","Marketing & Franchise","Travel & Casting",56147.70,47725.54,-8422.16
2026-01-23,"Project Hoppers","Pre-Production & Story","Equipment Lease",465304.75,651426.65,186121.90
2026-01-15,"Franchise Shorts","Production & Animation","Travel & Casting",370122.09,388628.19,18506.10
2026-01-03,"Project Elio","Production & Animation","Vendor Contract",155257.54,194071.93,38814.39
2026-03-03,"Project Elio","Pre-Production & Story","Compute/Cloud Infrastructure",285360.96,271092.91,-14268.05
2026-02-13,"Toy Story 5","Post-Production & Sound","Compute/Cloud Infrastructure",375536.54,394313.37,18776.83
2026-03-21,"Franchise Shorts","Marketing & Franchise","Equipment Lease",40587.45,34499.33,-6088.12
2026-01-18,"Project Elio","Marketing & Franchise","Equipment Lease",46600.09,48930.09,2330.00
2026-01-28,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",342125.10,325018.84,-17106.26
2026-02-03,"Project Elio","Technical Operations (Render Farm)","Travel & Casting",260847.06,273889.41,13042.35
2026-01-08,"Franchise Shorts","Technical Operations (Render Farm)","Equipment Lease",158585.87,166515.16,7929.29
2026-03-25,"Toy Story 5","Post-Production & Sound","Equipment Lease",152705.64,129799.79,-22905.85
2026-03-17,"Project Elio","Pre-Production & Story","Equipment Lease",212102.34,201497.22,-10605.12
2026-01-08,"Project Hoppers","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",245274.60,257538.33,12263.73
2026-02-03,"Unallocated Corporate Overhead","Pre-Production & Story","Travel & Casting",183637.09,174455.24,-9181.85
2026-01-09,"Project Elio","Technical Operations (Render Farm)","Equipment Lease",342063.62,427579.53,85515.91
2026-03-07,"Project Elio","Production & Animation","Labor - Internal",234208.71,222498.27,-11710.44
2026-03-26,"Project Elio","Marketing & Franchise","Equipment Lease",183947.64,156355.49,-27592.15
2026-02-03,"Project Hoppers","Post-Production & Sound","Travel & Casting",117155.44,99582.12,-17573.32
2026-03-27,"Project Hoppers","Marketing & Franchise","Labor - Internal",213085.05,266356.31,53271.26
2026-01-01,"Project Elio","Production & Animation","Labor - Internal",67452.69,57334.79,-10117.90
2026-03-22,"Project Hoppers","Technical Operations (Render Farm)","Vendor Contract",306929.45,383661.81,76732.36
2026-02-10,"Toy Story 5","Post-Production & Sound","Labor - Internal",92434.63,115543.29,23108.66
2026-02-05,"Toy Story 5","Pre-Production & Story","Travel & Casting",183894.65,229868.31,45973.66
2026-02-05,"Project Elio","Production & Animation","Travel & Casting",320844.16,401055.20,80211.04
2026-03-31,"Project Elio","Technical Operations (Render Farm)","Travel & Casting",437202.92,371622.48,-65580.44
2026-01-13,"Project Elio","Marketing & Franchise","Labor - Internal",161294.97,225812.96,64517.99
2026-02-07,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",232759.39,197845.48,-34913.91
2026-01-28,"Project Hoppers","Marketing & Franchise","Vendor Contract",171459.90,145740.91,-25718.99
2026-01-27,"Toy Story 5","Post-Production & Sound","Compute/Cloud Infrastructure",250802.91,263343.06,12540.15
2026-02-22,"Franchise Shorts","Pre-Production & Story","Equipment Lease",218935.18,229881.94,10946.76
2026-02-04,"Franchise Shorts","Production & Animation","Vendor Contract",320628.26,400785.33,80157.07
2026-03-15,"Toy Story 5","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",461854.95,392576.71,-69278.24
2026-02-11,"Franchise Shorts","Production & Animation","Travel & Casting",473429.65,591787.06,118357.41
2026-02-12,"Franchise Shorts","Marketing & Franchise","Vendor Contract",417567.53,396689.15,-20878.38
2026-01-06,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",268537.99,281964.89,13426.90
2026-03-19,"Project Elio","Post-Production & Sound","Travel & Casting",65441.04,55624.88,-9816.16
2026-02-04,"Franchise Shorts","Production & Animation","Vendor Contract",253777.37,215710.76,-38066.61
2026-03-04,"Toy Story 5","Marketing & Franchise","Compute/Cloud Infrastructure",203964.13,214162.34,10198.21
2026-03-24,"Project Hoppers","Technical Operations (Render Farm)","Labor - Internal",340903.01,323857.86,-17045.15
2026-02-10,"Project Elio","Production & Animation","Vendor Contract",59154.42,73943.02,14788.60
2026-01-02,"Project Hoppers","Production & Animation","Equipment Lease",335299.96,419124.95,83824.99
2026-03-08,"Franchise Shorts","Marketing & Franchise","Vendor Contract",160095.14,200118.93,40023.79
2026-03-29,"Project Hoppers","Marketing & Franchise","Vendor Contract",369404.16,517165.82,147761.66
2026-02-08,"Toy Story 5","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",156905.12,133369.35,-23535.77
2026-03-14,"Project Hoppers","Post-Production & Sound","Equipment Lease",157794.79,134125.57,-23669.22
2026-02-21,"Franchise Shorts","Technical Operations (Render Farm)","Travel & Casting",293445.91,249429.02,-44016.89
2026-02-02,"Project Elio","Pre-Production & Story","Labor - Internal",318222.44,302311.32,-15911.12
2026-01-13,"Franchise Shorts","Production & Animation","Vendor Contract",229974.89,218476.15,-11498.74
2026-03-27,"Franchise Shorts","Production & Animation","Labor - Internal",444215.54,377583.21,-66632.33
2026-01-27,"Project Elio","Marketing & Franchise","Labor - Internal",364777.24,455971.55,91194.31
2026-02-04,"Project Hoppers","Post-Production & Sound","Labor - Internal",263775.31,224209.01,-39566.30
2026-01-27,"Project Hoppers","Marketing & Franchise","Equipment Lease",25553.49,24275.82,-1277.67
2026-01-20,"Franchise Shorts","Production & Animation","Vendor Contract",235960.85,294951.06,58990.21
2026-03-03,"Project Elio","Pre-Production & Story","Equipment Lease",152937.19,129996.61,-22940.58
2026-03-15,"Toy Story 5","Technical Operations (Render Farm)","Travel & Casting",293336.38,278669.56,-14666.82
2026-01-17,"Franchise Shorts","Marketing & Franchise","Travel & Casting",318742.08,334679.18,15937.10
2026-02-08,"Project Elio","Technical Operations (Render Farm)","Vendor Contract",246317.94,344845.12,98527.18
2026-03-19,"Franchise Shorts","Pre-Production & Story","Vendor Contract",167078.15,142016.43,-25061.72
2026-01-22,"Project Elio","Post-Production & Sound","Travel & Casting",116669.04,163336.66,46667.62
2026-01-24,"Franchise Shorts","Technical Operations (Render Farm)","Compute/Cloud Infrastructure",183351.98,155849.18,-27502.80
2026-03-31,"Project Hoppers","Production & Animation","Equipment Lease",394705.21,335499.43,-59205.78
2026-03-03,"Project Hoppers","Pre-Production & Story","Labor - Internal",372555.80,353928.01,-18627.79
2026-01-11,"Toy Story 5","Marketing & Franchise","Travel & Casting",495788.48,619735.60,123947.12
2026-01-21,"Project Elio","Production & Animation","Vendor Contract",178786.05,187725.35,8939.30
2026-03-02,"Franchise Shorts","Production & Animation","Labor - Internal",82482.09,78357.99,-4124.10
