Transaction_Date,Project_Name,Department,Expense_Type,Budget_Amount,Actual_Amount
2026-03-28,Project Elio,Tech Ops - Render,Vendor Contract,61814.75,"$58,724.01"
2026-03-23,Project Hoppers,Pre-Production & Story,Travel & Casting,58361.12,"$49,606.95"
2026-03-18,,Post-Prod & Sound,Compute/Cloud Infrastructure,364385.25,510139.35
2026-02-15,Toy Story 5,RENDERING,Labor - Internal,254241.72,241529.63
2026-01-21,Project Hoppers,Pre-Production & Story,Travel & Casting,184435.38,193657.15
2026-02-21,Project Hoppers,Tech Ops - Render,Labor - Internal,147087.79,154442.18
2026-03-10,Project Hoppers,Marketing,Vendor Contract,89965.31,"$85,467.04"
2026-01-31,Toy Story 5,Post-Prod & Sound,Compute/Cloud Infrastructure,268579.83,282008.82
2026-01-19,Project Hoppers,Tech Ops - Render,Travel & Casting,397101.1,496376.38
2026-03-11,Toy Story 5,Marketing,Compute/Cloud Infrastructure,127636.13,178690.58
2026-01-27,Project Hoppers,Pre-Production & Story,Equipment Lease,"$297,490.51",312365.04
01/31/2026,Project Elio,Tech Ops - Render,Equipment Lease,196191.48,274668.07
2026-01-24,Project Hoppers,RENDERING,Labor - Internal,135617.68,128836.8
02/02/2026,Franchise Shorts,Pre-Production & Story,Equipment Lease,"$209,828.76",178354.45
2026-03-11,Toy Story 5,Animation & Prod,Vendor Contract,"$188,076.50",197480.33
01/22/2026,Project Elio,Pre-Production & Story,Labor - Internal,499983.89,699977.45
2026-03-31,Project Hoppers,Pre-Production & Story,Travel & Casting,303556.99,288379.14
2026-01-29,Project Elio,Animation & Prod,Vendor Contract,"$155,115.20",147359.44
2026-01-23,Project Elio,Marketing,Vendor Contract,"$175,543.86","$166,766.67"
2026-01-26,Project Hoppers,Post-Prod & Sound,Vendor Contract,280878.59,238746.8
2026-01-08,Project Hoppers,Marketing,Equipment Lease,"$339,173.55","$322,214.87"
2026-02-17,Project Elio,RENDERING,Equipment Lease,"$147,235.75","$125,150.39"
2026-01-23,Project Hoppers,RENDERING,Labor - Internal,97825.64,102716.92
2026-03-13,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,"$476,560.20",667184.28
2026-02-07,Franchise Shorts,Animation & Prod,Labor - Internal,150080.33,142576.31
02/08/2026,Toy Story 5,Animation & Prod,Equipment Lease,"$72,804.07",69163.87
2026-01-26,Project Elio,Animation & Prod,Vendor Contract,253359.9,240691.9
2026-01-19,Franchise Shorts,RENDERING,Vendor Contract,221096.33,187931.88
2026-01-24,Project Elio,Animation & Prod,Travel & Casting,317170.61,444038.85
2026-02-21,Project Elio,Tech Ops - Render,Equipment Lease,143558.53,200981.94
2026-03-11,Project Elio,Marketing,Equipment Lease,68132.09,85165.11
2026-02-02,Franchise Shorts,Animation & Prod,Travel & Casting,272172.71,258564.07
2026-01-31,Project Elio,Animation & Prod,Labor - Internal,345675.03,328391.28
2026-03-11,Project Elio,Pre-Production & Story,Travel & Casting,274559.47,"$384,383.26"
2026-02-21,Franchise Shorts,Pre-Production & Story,Compute/Cloud Infrastructure,214840.91,300777.27
2026-03-09,Franchise Shorts,Anim & Production,Labor - Internal,329808.03,313317.63
2026-03-11,Toy Story 5,Animation & Prod,Vendor Contract,231395.7,"$196,686.35"
2026-03-01,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,"$108,375.48",151725.67
2026-02-19,Project Hoppers,Animation & Prod,Vendor Contract,232197.54,243807.42
2026-03-02,Franchise Shorts,Animation & Prod,Travel & Casting,252142.89,214321.46
2026-01-07,Franchise Shorts,RENDERING,Travel & Casting,"$56,057.27",70071.59
2026-01-19,Project Hoppers,Marketing,Travel & Casting,434821.13,413080.07
2026-02-16,Toy Story 5,Marketing,Vendor Contract,136320.89,170401.11
2026-03-12,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,325139.85,308882.86
2026-03-16,Project Hoppers,Post-Prod & Sound,Vendor Contract,323467.3,"$404,334.12"
2026-02-03,Franchise Shorts,Anim & Production,Equipment Lease,100246.81,95234.47
2026-03-03,Franchise Shorts,Pre-Production & Story,Vendor Contract,370386.37,462982.96
2026-03-20,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,78007.62,74107.24
2026-01-10,Project Hoppers,Marketing,Labor - Internal,127195.87,158994.84
2026-01-04,Project Hoppers,Anim & Production,Travel & Casting,279687.38,237734.27
2026-03-20,Project Hoppers,Anim & Production,Equipment Lease,378086.53,396990.86
2026-02-23,Toy Story 5,Animation & Prod,Labor - Internal,20165.06,21173.31
2026-03-12,Project Elio,Animation & Prod,Labor - Internal,330086.95,346591.3
2026-01-10,Project Hoppers,Animation & Prod,Vendor Contract,329409.72,"$411,762.15"
2026-03-09,Franchise Shorts,Animation & Prod,Labor - Internal,90144.61,112680.76
2026-03-22,Toy Story 5,Animation & Prod,Travel & Casting,112466.03,106842.73
2026-02-04,Project Hoppers,Post-Prod & Sound,Vendor Contract,97716.62,136803.27
2026-01-05,Project Hoppers,Marketing,Vendor Contract,122532.6,104152.71
2026-01-12,Project Hoppers,Tech Ops - Render,Equipment Lease,426711.93,597396.7
2026-03-11,Toy Story 5,Pre-Production & Story,Equipment Lease,383932.71,364736.07
2026-01-06,Franchise Shorts,Pre-Production & Story,Equipment Lease,172369.37,241317.12
2026-03-23,Project Hoppers,Tech Ops - Render,Travel & Casting,215472.27,183151.43
2026-01-27,Toy Story 5,Marketing,Vendor Contract,415366.97,581513.76
2026-01-18,Franchise Shorts,Anim & Production,Vendor Contract,369067.05,387520.4
2026-02-20,Franchise Shorts,Post-Prod & Sound,Compute/Cloud Infrastructure,130418.88,110856.05
2026-02-06,,Pre-Production & Story,Vendor Contract,423622.43,529528.04
2026-02-09,Project Hoppers,RENDERING,Equipment Lease,93969.51,98667.99
2026-01-02,Toy Story 5,Marketing,Labor - Internal,86719.16,73711.29
03/21/2026,Franchise Shorts,Pre-Production & Story,Travel & Casting,364865.09,383108.34
01/22/2026,Project Hoppers,Marketing,Labor - Internal,138688.35,131753.93
2026-02-04,Toy Story 5,Tech Ops - Render,Equipment Lease,423357.78,402189.89
2026-03-24,Project Elio,Tech Ops - Render,Equipment Lease,434990.26,608986.36
2026-03-13,Project Elio,Marketing,Vendor Contract,"$315,227.58",299466.2
2026-03-19,Toy Story 5,Animation & Prod,Vendor Contract,192768.04,240960.05
2026-01-15,Project Hoppers,Marketing,Labor - Internal,"$43,724.78",45911.02
02/23/2026,,Marketing,Compute/Cloud Infrastructure,"$206,753.87",289455.42
2026-02-27,Franchise Shorts,Anim & Production,Vendor Contract,102580.37,87193.31
2026-02-02,Project Hoppers,Tech Ops - Render,Vendor Contract,174873.14,166129.48
2026-02-04,Project Hoppers,Tech Ops - Render,Compute/Cloud Infrastructure,342890.72,428613.4
2026-01-07,Franchise Shorts,Anim & Production,Equipment Lease,262678.77,"$249,544.83"
2026-03-17,Franchise Shorts,RENDERING,Vendor Contract,258019.06,270920.01
2026-02-18,Toy Story 5,Tech Ops - Render,Labor - Internal,255794.64,319743.3
2026-01-11,Project Elio,Marketing,Travel & Casting,33893.28,32198.62
2026-01-12,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,489193.7,415814.65
2026-03-18,Project Elio,Marketing,Travel & Casting,"$461,939.54",438842.56
2026-02-11,Project Elio,Pre-Production & Story,Labor - Internal,204034.67,214236.4
2026-01-02,Project Hoppers,Tech Ops - Render,Compute/Cloud Infrastructure,82982.87,87132.01
02/14/2026,Project Hoppers,Animation & Prod,Equipment Lease,388197.38,407607.25
2026-03-24,Toy Story 5,Pre-Production & Story,Travel & Casting,349370.63,331902.1
2026-02-05,Franchise Shorts,RENDERING,Equipment Lease,344527.26,430659.08
2026-03-24,Project Hoppers,RENDERING,Travel & Casting,451028.89,383374.56
2026-03-29,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,"$364,600.31","$346,370.29"
2026-01-10,Project Elio,Animation & Prod,Equipment Lease,"$357,409.19",500372.87
03/28/2026,Project Hoppers,RENDERING,Labor - Internal,186964.73,233705.91
2026-02-25,,Pre-Production & Story,Travel & Casting,38843.81,40786.0
2026-03-08,Project Elio,Animation & Prod,Labor - Internal,"$180,402.72",171382.58
2026-02-02,Project Elio,Anim & Production,Travel & Casting,380088.87,"$532,124.42"
2026-03-07,Franchise Shorts,RENDERING,Compute/Cloud Infrastructure,286026.02,243122.12
2026-02-13,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,"$210,275.62",199761.84
02/08/2026,Toy Story 5,Animation & Prod,Labor - Internal,189447.01,161029.96
02/12/2026,,Anim & Production,Compute/Cloud Infrastructure,193677.54,164625.91
2026-03-18,Project Hoppers,Post-Prod & Sound,Travel & Casting,404715.22,"$505,894.02"
03/27/2026,Toy Story 5,Anim & Production,Labor - Internal,"$294,174.33",308883.05
2026-03-26,Project Hoppers,Pre-Production & Story,Equipment Lease,"$290,902.03","$363,627.54"
2026-03-09,Project Hoppers,Anim & Production,Travel & Casting,"$84,203.49",105254.36
2026-01-12,Toy Story 5,Post-Prod & Sound,Travel & Casting,460461.65,575577.06
2026-01-05,Franchise Shorts,Pre-Production & Story,Vendor Contract,25806.79,32258.49
2026-01-18,Project Hoppers,Marketing,Equipment Lease,424952.61,531190.76
03/02/2026,Project Hoppers,Pre-Production & Story,Labor - Internal,93710.41,117138.01
2026-02-22,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,"$129,885.21",162356.51
01/01/2026,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,341889.22,358983.68
2026-03-24,Franchise Shorts,Post-Prod & Sound,Compute/Cloud Infrastructure,366574.95,384903.7
2026-01-30,Franchise Shorts,RENDERING,Travel & Casting,200398.33,250497.91
2026-02-01,Project Hoppers,Marketing,Compute/Cloud Infrastructure,485068.19,509321.6
2026-01-16,Franchise Shorts,Anim & Production,Travel & Casting,187630.45,262682.63
2026-03-20,Project Elio,Post-Prod & Sound,Compute/Cloud Infrastructure,361332.24,451665.3
2026-01-04,Franchise Shorts,Marketing,Travel & Casting,312956.34,438138.88
03/01/2026,Project Elio,Marketing,Labor - Internal,215750.54,226538.07
2026-03-28,Toy Story 5,Animation & Prod,Labor - Internal,23171.53,19695.8
2026-01-25,Franchise Shorts,Animation & Prod,Compute/Cloud Infrastructure,363540.55,381717.58
03/21/2026,Franchise Shorts,RENDERING,Travel & Casting,33912.7,42390.88
2026-02-09,Project Elio,Animation & Prod,Labor - Internal,165577.19,"$157,298.33"
2026-02-17,Toy Story 5,Anim & Production,Travel & Casting,145045.8,123288.93
2026-02-09,Project Hoppers,Marketing,Vendor Contract,"$355,642.66",497899.72
2026-03-02,Toy Story 5,Animation & Prod,Compute/Cloud Infrastructure,286433.71,272112.02
2026-03-10,Project Elio,Anim & Production,Compute/Cloud Infrastructure,"$272,996.07",286645.87
02/04/2026,Toy Story 5,Animation & Prod,Vendor Contract,53773.42,51084.75
2026-02-12,Project Elio,Marketing,Equipment Lease,49833.54,69766.96
2026-01-12,Project Elio,Anim & Production,Equipment Lease,148082.13,207314.98
2026-03-08,Project Elio,Anim & Production,Equipment Lease,218885.26,229829.52
2026-01-02,Toy Story 5,Pre-Production & Story,Travel & Casting,205591.43,195311.86
2026-01-03,Franchise Shorts,Tech Ops - Render,Equipment Lease,496409.84,521230.33
2026-01-21,Franchise Shorts,Anim & Production,Travel & Casting,304677.27,380846.59
2026-02-27,Toy Story 5,Anim & Production,Vendor Contract,424096.96,402892.11
2026-02-06,Project Hoppers,Anim & Production,Labor - Internal,139307.68,195030.75
2026-02-16,Toy Story 5,Anim & Production,Labor - Internal,187067.64,177714.26
2026-02-28,Project Elio,Post-Prod & Sound,Vendor Contract,316493.99,443091.59
2026-01-16,Toy Story 5,RENDERING,Vendor Contract,158636.53,198295.66
02/22/2026,Toy Story 5,Animation & Prod,Labor - Internal,274489.77,233316.3
2026-02-11,Project Hoppers,Post-Prod & Sound,Travel & Casting,135264.49,128501.27
2026-03-26,Project Elio,RENDERING,Labor - Internal,43651.23,37103.55
03/19/2026,Project Hoppers,Animation & Prod,Compute/Cloud Infrastructure,"$287,307.16",402230.02
2026-01-20,,Pre-Production & Story,Compute/Cloud Infrastructure,206994.62,258743.27
2026-02-27,Project Elio,RENDERING,Equipment Lease,325686.45,341970.77
01/02/2026,Franchise Shorts,Post-Prod & Sound,Equipment Lease,87657.02,109571.28
01/29/2026,Toy Story 5,Animation & Prod,Vendor Contract,431733.16,539666.45
2026-03-09,Project Hoppers,Tech Ops - Render,Travel & Casting,217395.94,184786.55
2026-02-10,Project Hoppers,Anim & Production,Travel & Casting,91866.55,114833.19
2026-02-14,Project Hoppers,Tech Ops - Render,Equipment Lease,"$59,532.63",50602.74
2026-02-07,Toy Story 5,Pre-Production & Story,Labor - Internal,202372.63,252965.79
2026-02-01,Toy Story 5,Marketing,Labor - Internal,105097.37,89332.76
2026-01-21,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,384292.19,538009.07
2026-03-24,Project Elio,Anim & Production,Equipment Lease,320862.03,449206.84
02/02/2026,Project Hoppers,Marketing,Labor - Internal,261546.43,326933.04
2026-03-21,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,229615.03,"$287,018.79"
2026-03-24,Project Hoppers,Tech Ops - Render,Travel & Casting,498797.21,"$523,737.07"
2026-01-19,Franchise Shorts,RENDERING,Vendor Contract,315309.48,441433.27
2026-02-02,Project Hoppers,Marketing,Vendor Contract,"$26,344.04",32930.05
2026-03-25,Project Hoppers,Marketing,Travel & Casting,56147.7,47725.54
2026-01-23,Project Hoppers,Pre-Production & Story,Equipment Lease,465304.75,651426.65
2026-01-15,Franchise Shorts,Animation & Prod,Travel & Casting,370122.09,388628.19
2026-01-03,Project Elio,Animation & Prod,Vendor Contract,"$155,257.54",194071.93
2026-03-03,Project Elio,Pre-Production & Story,Compute/Cloud Infrastructure,285360.96,271092.91
2026-02-13,Toy Story 5,Post-Prod & Sound,Compute/Cloud Infrastructure,375536.54,394313.37
2026-03-21,Franchise Shorts,Marketing,Equipment Lease,40587.45,34499.33
2026-01-18,Project Elio,Marketing,Equipment Lease,46600.09,48930.09
2026-01-28,Franchise Shorts,Tech Ops - Render,Equipment Lease,342125.1,"$325,018.84"
2026-02-03,Project Elio,Tech Ops - Render,Travel & Casting,260847.06,273889.41
2026-01-08,Franchise Shorts,Tech Ops - Render,Equipment Lease,158585.87,166515.16
2026-03-25,Toy Story 5,Post-Prod & Sound,Equipment Lease,152705.64,129799.79
2026-03-17,Project Elio,Pre-Production & Story,Equipment Lease,212102.34,201497.22
2026-01-08,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,245274.6,257538.33
2026-02-03,,Pre-Production & Story,Travel & Casting,183637.09,174455.24
2026-01-09,Project Elio,Tech Ops - Render,Equipment Lease,342063.62,"$427,579.53"
2026-03-07,Project Elio,Animation & Prod,Labor - Internal,"$234,208.71",222498.27
2026-03-26,Project Elio,Marketing,Equipment Lease,183947.64,156355.49
02/03/2026,Project Hoppers,Post-Prod & Sound,Travel & Casting,"$117,155.44","$99,582.12"
2026-03-27,Project Hoppers,Marketing,Labor - Internal,213085.05,266356.31
2026-01-01,Project Elio,Anim & Production,Labor - Internal,67452.69,57334.79
2026-03-22,Project Hoppers,Tech Ops - Render,Vendor Contract,306929.45,383661.81
02/10/2026,Toy Story 5,Post-Prod & Sound,Labor - Internal,92434.63,115543.29
2026-02-05,Toy Story 5,Pre-Production & Story,Travel & Casting,183894.65,"$229,868.31"
2026-02-05,Project Elio,Animation & Prod,Travel & Casting,320844.16,401055.2
2026-03-31,Project Elio,RENDERING,Travel & Casting,437202.92,"$371,622.48"
2026-01-13,Project Elio,Marketing,Labor - Internal,161294.97,225812.96
2026-02-07,Project Hoppers,Tech Ops - Render,Labor - Internal,232759.39,197845.48
2026-01-28,Project Hoppers,Marketing,Vendor Contract,171459.9,145740.91
2026-01-27,Toy Story 5,Post-Prod & Sound,Compute/Cloud Infrastructure,250802.91,263343.06
2026-02-22,Franchise Shorts,Pre-Production & Story,Equipment Lease,218935.18,229881.94
2026-02-04,Franchise Shorts,Anim & Production,Vendor Contract,320628.26,400785.33
2026-03-15,Toy Story 5,RENDERING,Compute/Cloud Infrastructure,461854.95,392576.71
2026-02-11,Franchise Shorts,Animation & Prod,Travel & Casting,473429.65,591787.06
2026-02-12,Franchise Shorts,Marketing,Vendor Contract,417567.53,"$396,689.15"
2026-01-06,Project Hoppers,Tech Ops - Render,Labor - Internal,268537.99,281964.89
2026-03-19,Project Elio,Post-Prod & Sound,Travel & Casting,65441.04,55624.88
2026-02-04,Franchise Shorts,Animation & Prod,Vendor Contract,253777.37,215710.76
2026-03-04,Toy Story 5,Marketing,Compute/Cloud Infrastructure,203964.13,214162.34
2026-03-24,Project Hoppers,RENDERING,Labor - Internal,340903.01,323857.86
2026-02-10,Project Elio,Anim & Production,Vendor Contract,59154.42,73943.02
2026-01-02,Project Hoppers,Animation & Prod,Equipment Lease,335299.96,419124.95
2026-03-08,Franchise Shorts,Marketing,Vendor Contract,160095.14,"$200,118.93"
2026-03-29,Project Hoppers,Marketing,Vendor Contract,369404.16,517165.82
2026-02-08,Toy Story 5,Tech Ops - Render,Compute/Cloud Infrastructure,156905.12,"$133,369.35"
2026-03-14,Project Hoppers,Post-Prod & Sound,Equipment Lease,157794.79,134125.57
2026-02-21,Franchise Shorts,RENDERING,Travel & Casting,293445.91,"$249,429.02"
02/02/2026,Project Elio,Pre-Production & Story,Labor - Internal,318222.44,302311.32
2026-01-13,Franchise Shorts,Anim & Production,Vendor Contract,"$229,974.89",218476.15
2026-03-27,Franchise Shorts,Anim & Production,Labor - Internal,444215.54,377583.21
2026-01-27,Project Elio,Marketing,Labor - Internal,364777.24,455971.55
2026-02-04,Project Hoppers,Post-Prod & Sound,Labor - Internal,263775.31,224209.01
2026-01-27,Project Hoppers,Marketing,Equipment Lease,25553.49,"$24,275.82"
2026-01-20,Franchise Shorts,Anim & Production,Vendor Contract,235960.85,294951.06
2026-03-03,Project Elio,Pre-Production & Story,Equipment Lease,152937.19,129996.61
2026-03-15,Toy Story 5,RENDERING,Travel & Casting,"$293,336.38",278669.56
2026-01-17,Franchise Shorts,Marketing,Travel & Casting,318742.08,334679.18
2026-02-08,Project Elio,Tech Ops - Render,Vendor Contract,246317.94,344845.12
2026-03-19,Franchise Shorts,Pre-Production & Story,Vendor Contract,167078.15,142016.43
2026-01-22,Project Elio,Post-Prod & Sound,Travel & Casting,116669.04,163336.66
2026-01-24,Franchise Shorts,RENDERING,Compute/Cloud Infrastructure,183351.98,"$155,849.18"
2026-03-31,Project Hoppers,Anim & Production,Equipment Lease,394705.21,335499.43
2026-03-03,Project Hoppers,Pre-Production & Story,Labor - Internal,372555.8,353928.01
01/11/2026,Toy Story 5,Marketing,Travel & Casting,495788.48,619735.6
2026-01-21,Project Elio,Anim & Production,Vendor Contract,"$178,786.05",187725.35
2026-03-02,Franchise Shorts,Animation & Prod,Labor - Internal,82482.09,78357.99
03/17/2026,Toy Story 5,Marketing,Vendor Contract,346311.59,294364.85
2026-03-26,Toy Story 5,Post-Prod & Sound,Labor - Internal,177853.46,248994.84
2026-01-06,Toy Story 5,Anim & Production,Labor - Internal,474794.47,403575.3
2026-02-03,Toy Story 5,Tech Ops - Render,Labor - Internal,"$197,742.02",207629.12
2026-01-28,Toy Story 5,Marketing,Labor - Internal,228354.07,239771.77
01/19/2026,Project Elio,Marketing,Compute/Cloud Infrastructure,"$133,747.82",140435.21
2026-03-22,Project Hoppers,Post-Prod & Sound,Travel & Casting,273267.56,-286930.94
02/17/2026,Project Hoppers,Animation & Prod,Compute/Cloud Infrastructure,447240.98,380154.83
2026-03-01,Toy Story 5,Marketing,Labor - Internal,286219.44,400707.22
2026-01-17,Project Elio,Animation & Prod,Labor - Internal,427413.69,363301.64
2026-01-29,Franchise Shorts,Marketing,Travel & Casting,20257.35,21270.22
2026-01-11,Toy Story 5,Animation & Prod,Labor - Internal,"$435,157.62",369883.98
2026-03-29,Toy Story 5,Animation & Prod,Travel & Casting,260552.2,"$221,469.37"
2026-02-24,Franchise Shorts,RENDERING,Equipment Lease,448155.16,380931.89
2026-03-29,Project Elio,RENDERING,Vendor Contract,334972.27,468961.18
2026-03-29,,Tech Ops - Render,Travel & Casting,443166.4,553958.0
2026-02-18,Toy Story 5,Marketing,Vendor Contract,217333.65,206466.97
01/12/2026,Project Elio,Pre-Production & Story,Labor - Internal,191710.64,268394.9
2026-03-03,Toy Story 5,Marketing,Vendor Contract,416840.58,395998.55
2026-02-18,Project Elio,Animation & Prod,Compute/Cloud Infrastructure,180436.09,171414.29
2026-01-29,Project Elio,Post-Prod & Sound,Vendor Contract,355781.0,337991.95
2026-03-22,Toy Story 5,Marketing,Compute/Cloud Infrastructure,305591.01,320870.56
2026-03-20,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,361186.59,343127.26
02/16/2026,Project Elio,Marketing,Compute/Cloud Infrastructure,32064.86,"$40,081.07"
01/07/2026,Franchise Shorts,Tech Ops - Render,Travel & Casting,234756.72,328659.41
2026-03-05,Project Hoppers,Anim & Production,Equipment Lease,88067.53,"$83,664.15"
03/27/2026,Project Hoppers,Animation & Prod,Vendor Contract,450787.77,"$428,248.38"
2026-03-11,Project Hoppers,Tech Ops - Render,Labor - Internal,497269.38,472405.91
2026-02-04,Toy Story 5,Marketing,Compute/Cloud Infrastructure,453186.55,634461.17
2026-02-09,Franchise Shorts,Pre-Production & Story,Labor - Internal,364500.7,455625.88
2026-03-20,Toy Story 5,RENDERING,Vendor Contract,301685.26,316769.52
2026-03-20,Franchise Shorts,Marketing,Labor - Internal,"$376,132.27",357325.66
02/17/2026,Project Hoppers,Pre-Production & Story,Travel & Casting,284484.05,"$241,811.44"
2026-01-27,Project Hoppers,Pre-Production & Story,Compute/Cloud Infrastructure,118864.31,124807.53
2026-03-17,Toy Story 5,RENDERING,Travel & Casting,"$229,486.60",240960.93
2026-03-03,Toy Story 5,Marketing,Labor - Internal,164683.54,139981.01
2026-01-05,Project Elio,Pre-Production & Story,Vendor Contract,435042.01,"$369,785.71"
2026-03-29,Franchise Shorts,Animation & Prod,Travel & Casting,400761.08,561065.51
2026-01-20,Franchise Shorts,Pre-Production & Story,Equipment Lease,"$336,787.44",471502.42
2026-01-12,Project Hoppers,Anim & Production,Compute/Cloud Infrastructure,354334.25,496067.95
2026-03-14,Project Hoppers,Animation & Prod,Equipment Lease,376634.69,527288.57
2026-02-28,Toy Story 5,Post-Prod & Sound,Labor - Internal,310709.48,"$295,174.01"
2026-01-31,Project Elio,Anim & Production,Vendor Contract,219471.33,230444.9
2026-01-11,Project Hoppers,Post-Prod & Sound,Compute/Cloud Infrastructure,468260.95,655565.33
2026-01-16,Project Hoppers,Tech Ops - Render,Equipment Lease,484642.84,"$460,410.70"
2026-03-04,Project Hoppers,Post-Prod & Sound,Travel & Casting,102170.1,"$107,278.61"
2026-03-12,Project Hoppers,RENDERING,Vendor Contract,105175.63,89399.29
2026-02-12,Franchise Shorts,Post-Prod & Sound,Vendor Contract,348818.83,366259.77
2026-02-20,Toy Story 5,Marketing,Vendor Contract,189334.16,-265067.82
2026-02-07,Franchise Shorts,Anim & Production,Travel & Casting,471752.59,589690.74
2026-02-12,Project Elio,RENDERING,Labor - Internal,"$421,297.07","$358,102.51"
2026-01-01,Project Hoppers,Marketing,Travel & Casting,329305.0,"$279,909.25"
2026-01-30,Toy Story 5,Tech Ops - Render,Labor - Internal,82116.34,69798.89
2026-01-29,Toy Story 5,Pre-Production & Story,Travel & Casting,286604.44,358255.55
03/18/2026,Toy Story 5,Animation & Prod,Labor - Internal,"$268,807.19",376330.07
2026-02-21,Franchise Shorts,Animation & Prod,Vendor Contract,80309.18,76293.72
2026-03-16,Toy Story 5,Animation & Prod,Labor - Internal,134744.81,141482.05
2026-03-06,Project Elio,Marketing,Equipment Lease,164196.61,155986.78
2026-02-09,Franchise Shorts,Post-Prod & Sound,Compute/Cloud Infrastructure,156048.92,132641.58
2026-03-10,Toy Story 5,RENDERING,Compute/Cloud Infrastructure,469048.42,586310.53
2026-03-17,Franchise Shorts,Pre-Production & Story,Labor - Internal,327515.79,311140.0
2026-01-02,Franchise Shorts,Anim & Production,Compute/Cloud Infrastructure,144095.07,201733.1
2026-01-18,Toy Story 5,Animation & Prod,Vendor Contract,281125.43,295181.7
2026-01-10,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,248244.7,310305.88
03/03/2026,Toy Story 5,Pre-Production & Story,Labor - Internal,"$330,071.42",346574.99
2026-01-08,Project Hoppers,RENDERING,Equipment Lease,229936.54,287420.67
2026-02-19,Project Elio,Pre-Production & Story,Equipment Lease,161116.24,153060.43
2026-01-31,Franchise Shorts,Animation & Prod,Equipment Lease,470517.2,658724.08
2026-03-30,Toy Story 5,Animation & Prod,Compute/Cloud Infrastructure,"$96,841.21",121051.51
2026-03-25,Toy Story 5,Post-Prod & Sound,Compute/Cloud Infrastructure,367067.43,385420.8
03/25/2026,Project Elio,Post-Prod & Sound,Travel & Casting,"$472,527.71",-401648.55
2026-01-16,Toy Story 5,Marketing,Compute/Cloud Infrastructure,21455.89,18237.51
2026-02-09,Project Elio,RENDERING,Travel & Casting,168553.92,"$160,126.22"
2026-03-27,Project Hoppers,Tech Ops - Render,Travel & Casting,"$484,694.16",508928.87
2026-01-25,Toy Story 5,Post-Prod & Sound,Equipment Lease,63870.27,54289.73
2026-01-26,Franchise Shorts,Marketing,Vendor Contract,426602.3,533252.88
01/12/2026,Project Elio,Pre-Production & Story,Vendor Contract,"$262,125.16",222806.39
2026-01-13,Project Hoppers,RENDERING,Labor - Internal,238611.31,298264.14
2026-03-06,Project Elio,RENDERING,Compute/Cloud Infrastructure,301767.37,286679.0
2026-02-25,Project Hoppers,Marketing,Labor - Internal,"$188,854.45",160526.28
2026-03-07,Toy Story 5,Marketing,Labor - Internal,164732.08,172968.68
2026-02-16,Project Hoppers,Anim & Production,Vendor Contract,413774.93,434463.68
2026-01-18,Project Hoppers,RENDERING,Compute/Cloud Infrastructure,407929.43,428325.9
2026-01-13,Toy Story 5,Animation & Prod,Equipment Lease,108854.15,114296.86
2026-03-21,Toy Story 5,Tech Ops - Render,Labor - Internal,339442.28,475219.19
2026-01-09,Toy Story 5,RENDERING,Compute/Cloud Infrastructure,442655.52,619717.73
03/05/2026,Toy Story 5,Animation & Prod,Equipment Lease,29794.59,41712.43
2026-02-13,Franchise Shorts,RENDERING,Equipment Lease,381418.04,324205.33
2026-02-22,Franchise Shorts,Pre-Production & Story,Labor - Internal,120385.59,168539.83
2026-01-23,Franchise Shorts,Animation & Prod,Equipment Lease,148105.69,207347.97
2026-01-15,Project Hoppers,RENDERING,Labor - Internal,241464.32,338050.05
2026-01-25,Project Hoppers,Pre-Production & Story,Travel & Casting,221146.34,232203.66
2026-01-20,Franchise Shorts,Anim & Production,Vendor Contract,424399.64,594159.5
2026-01-17,Project Elio,Marketing,Labor - Internal,68396.93,95755.7
2026-01-14,Franchise Shorts,Post-Prod & Sound,Compute/Cloud Infrastructure,393815.91,492269.89
2026-03-17,Project Hoppers,Anim & Production,Travel & Casting,288285.08,"$360,356.35"
2026-03-11,Franchise Shorts,Anim & Production,Travel & Casting,"$111,903.00",117498.15
2026-01-16,Franchise Shorts,Animation & Prod,Vendor Contract,333912.25,350607.86
2026-01-07,Toy Story 5,Post-Prod & Sound,Travel & Casting,116053.56,98645.53
2026-01-20,Franchise Shorts,Pre-Production & Story,Vendor Contract,221767.35,310474.29
2026-03-26,Project Elio,Tech Ops - Render,Travel & Casting,145773.18,153061.84
2026-02-22,Franchise Shorts,Tech Ops - Render,Equipment Lease,405983.18,345085.7
